Year,LapNumber,RaceProgress,Stint,TyreLife,LapTime_Delta_Clean,laptime_pct_above_median,cumulative_degradation_clean,Position,position_vs_start,PitNextLap,is_wet_lap,neutralised_lap,track_temp_mean,humidity_mean,rainfall_any,wind_speed_mean,circuit_overtaking,circuit_is_street,circuit_deg_tier,laptime_trend,deg_trend,neutralised_prev,Compound_enc,car_tier_enc,circuit_avg_tyre_life,circuit_pit_rate
2024,1,0.0129870129870129,1,1.0,0.0,13.076613624173072,0.0,15,0.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.0,0.0,0,1,1,15.05,0.0251
2024,2,0.0259740259740259,1,2.0,,34.30962810656178,,15,0.0,0,0,1,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,21.23301448238871,0.0,0,1,1,15.05,0.0251
2024,3,0.0389610389610389,1,3.0,-24.415000000000006,7.026640443411404,-5.4140000000000015,15,0.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-27.28298766315038,0.0,1,1,1,15.05,0.0251
2024,4,0.0519480519480519,1,4.0,-5.715999999999994,0.6391918469515496,-11.129999999999995,15,0.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-6.387448596459855,-5.715999999999994,0,1,1,15.05,0.0251
2024,5,0.0649350649350649,1,5.0,0.3089999999999975,0.98448954049705,-10.820999999999998,15,0.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.34529769354550033,0.3089999999999975,0,1,1,15.05,0.0251
2024,6,0.0779220779220779,1,6.0,0.4459999999999979,1.48288038619703,-10.375,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.49839084569998016,0.44599999999999795,0,1,1,15.05,0.0251
2024,7,0.0909090909090909,1,7.0,-0.4980000000000046,0.9263811907741748,-10.873000000000005,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-0.5564991954228553,-0.49800000000000466,0,1,1,15.05,0.0251
2024,8,0.1038961038961039,1,8.0,0.3880000000000052,1.3599588771678872,-10.485,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.4335776863937124,0.38800000000000523,0,1,1,15.05,0.0251
2024,9,0.1168831168831168,1,9.0,-0.2360000000000042,1.0962363668871744,-10.721000000000004,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-0.2637225102807128,-0.2360000000000042,0,1,1,15.05,0.0251
2024,10,0.1298701298701298,1,10.0,0.2790000000000106,1.4080100125156505,-10.441999999999991,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.3117736456284761,0.27900000000001235,0,1,1,15.05,0.0251
2024,11,0.1428571428571428,1,11.0,0.0099999999999909,1.4191846951546532,-10.432000000000002,14,1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.011174682639002675,0.009999999999989129,0,1,1,15.05,0.0251
2024,12,0.1558441558441558,1,12.0,1.4429999999999978,3.031691399964234,-8.989000000000004,14,1.0,1,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,1.612506704809581,1.4429999999999978,0,1,1,15.05,0.0251
2024,13,0.1688311688311688,2,1.0,,22.89133738601824,,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,19.859645986054005,0.0,0,2,1,15.05,0.0251
2024,14,0.1818181818181818,2,2.0,-20.075999999999997,0.4570445199356405,0.0,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-22.4342928660826,0.0,0,2,1,15.05,0.0251
2024,15,0.1948051948051948,2,3.0,0.0969999999999942,0.5654389415340607,0.0969999999999942,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.10839442159842022,0.0969999999999942,0,2,1,15.05,0.0251
2024,16,0.2077922077922078,2,4.0,-0.066999999999993,0.490568567852681,0.0300000000000011,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-0.07487037368137972,-0.0669999999999931,0,2,1,15.05,0.0251
2024,17,0.2207792207792207,2,5.0,-0.2160000000000081,0.2491954228499899,-0.186000000000007,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-0.24137314500269108,-0.2160000000000081,0,2,1,15.05,0.0251
2024,18,0.2337662337662337,2,6.0,0.1430000000000006,0.4089933845878772,-0.0430000000000063,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.1597979617378873,0.14300000000000068,0,2,1,15.05,0.0251
2024,19,0.2467532467532467,2,7.0,0.1580000000000012,0.585553370284285,0.1149999999999948,16,-1.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,0.1765599856964078,0.15800000000000108,0,2,1,15.05,0.0251
